timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio
1769160626.4494376,1,0,0.8449,285,0.02,1.8
1769160626.4498217,34,0,0.2045,39,0.08,1.32
1769160626.4500813,42,79,0.4168,9,0.06,0.8
1769160626.450368,43,76,0.3943,9,0.07,0.81
1769160626.5384653,1,0,0.8562,286,5.61,1.77
1769160626.5389106,34,0,0.1489,40,1.24,1.34
1769160626.539194,42,67,0.4246,10,3.9,0.78
1769160626.5394125,43,79,0.3948,10,3.07,0.82
1769160626.5766513,1,0,0.8562,287,0.64,1.77
1769160626.5770733,34,0,0.1489,41,0.03,1.34
1769160626.5774112,42,67,0.4246,11,0.29,0.78
1769160626.5776765,43,79,0.3948,11,0.18,0.82
1769160626.616069,1,0,0.8562,288,0.21,1.77
1769160626.6164463,34,0,0.1489,42,0.01,1.34
1769160626.6166894,42,67,0.4246,12,0.12,0.78
1769160626.617122,43,79,0.3948,12,0.08,0.82
1769160626.6537535,1,0,0.8562,289,0.05,1.77
1769160626.654104,34,0,0.1489,43,0.0,1.34
1769160626.6544046,42,67,0.4246,13,0.06,0.78
1769160626.6546297,43,79,0.3948,13,0.06,0.82
1769160626.7380085,1,0,0.8656,290,0.82,1.78
1769160626.7384057,34,0,0.1466,44,2.74,1.33
1769160626.7387218,42,76,0.3562,14,5.64,0.86
1769160626.7390504,43,79,0.5267,14,4.76,0.83
1769160626.7393227,44,67,0.3002,0,0.0,0.81
1769160626.7759228,1,0,0.8656,291,0.18,1.78
1769160626.7762976,34,0,0.1466,45,0.06,1.33
1769160626.776572,42,76,0.3562,15,0.4,0.87
1769160626.776884,43,79,0.5267,15,0.27,0.83
1769160626.7771533,44,67,0.3002,1,0.0,0.81
1769160626.8156886,1,0,0.8656,292,0.06,1.78
1769160626.816072,34,0,0.1466,46,0.02,1.33
1769160626.8163443,42,76,0.3562,16,0.12,0.87
1769160626.8166723,43,79,0.5267,16,0.08,0.83
1769160626.8169436,44,67,0.3002,2,0.0,0.81
1769160626.8560407,1,0,0.8656,293,0.02,1.78
1769160626.8564847,34,0,0.1466,47,0.01,1.33
1769160626.8567545,42,76,0.3562,17,0.02,0.87
1769160626.8570085,43,79,0.5267,17,0.02,0.83
1769160626.857243,44,67,0.3002,3,0.0,0.81
1769160626.9443352,1,0,0.8492,294,36.3,1.59
1769160626.9447393,34,0,0.2374,48,18.04,0.94
1769160626.9817433,1,0,0.8492,295,3.52,1.57
1769160626.982173,34,0,0.2374,49,1.98,0.91
1769160627.0628204,1,0,0.897,296,32.37,1.76
1769160627.0632339,34,0,0.1277,50,12.2,1.01
1769160627.1012974,1,0,0.897,297,3.31,1.78
1769160627.1017256,34,0,0.1277,51,1.32,1.03
1769160627.1854188,1,0,0.8857,298,2.03,1.77
1769160627.2694557,1,0,0.8818,299,4.38,1.75
1769160627.3606038,1,0,0.8931,300,3.37,1.75
1769160627.4368558,1,0,0.8935,301,1.51,1.76
1769160627.518699,1,0,0.9031,302,3.01,1.76
1769160627.603154,1,0,0.8942,303,2.73,1.75
1769160627.6831064,1,0,0.8919,304,1.71,1.76
1769160627.7691982,1,0,0.8598,305,11.57,1.72
1769160627.7696223,47,0,0.3008,0,0.0,0.65
1769160627.8524022,1,0,0.9105,306,29.66,1.53
1769160627.934331,1,0,0.9075,307,2.17,1.51
1769160628.0138795,1,0,0.9053,308,2.83,1.49
1769160628.0919979,1,0,0.9042,309,1.81,1.5
1769160628.1738422,1,0,0.8943,310,2.28,1.54
1769160628.2554321,1,0,0.904,311,0.7,1.55
1769160628.3360515,1,0,0.906,312,1.56,1.55
1769160628.4148304,1,0,0.913,313,1.74,1.56
1769160628.4980338,1,0,0.9128,314,0.19,1.56
1769160628.5811822,1,0,0.908,315,0.17,1.56
1769160628.6587021,1,0,0.9207,316,2.51,1.56
1769160628.7370472,1,0,0.9092,317,2.1,1.58
1769160628.8154001,1,0,0.8925,318,0.4,1.58
1769160628.8953774,1,0,0.9059,319,0.85,1.58
1769160628.9749587,1,0,0.8911,320,1.89,1.59
1769160629.0549812,1,0,0.8967,321,7.55,1.53
1769160629.138052,1,0,0.8939,322,3.19,1.52
1769160629.2193289,1,0,0.8969,323,1.98,1.52
1769160629.301858,1,0,0.8974,324,0.44,1.53
1769160629.3787608,1,0,0.9041,325,0.65,1.53
1769160629.4609137,1,0,0.8928,326,7.08,1.54
1769160629.5397365,1,0,0.8928,327,0.66,1.55
1769160629.6197023,1,0,0.8971,328,4.02,1.54
1769160629.69847,1,0,0.8977,329,0.75,1.55
1769160629.7792675,1,0,0.9061,330,1.52,1.55
1769160629.8706083,1,0,0.9031,331,0.26,1.54
1769160629.9608128,1,0,0.9009,332,2.87,1.53
1769160630.050023,1,0,0.902,333,0.53,1.52
1769160630.1388676,1,0,0.8998,334,0.41,1.52
1769160630.2261245,1,0,0.9014,335,2.05,1.54
1769160630.3167703,1,0,0.9074,336,0.16,1.53
1769160630.4004362,1,0,0.907,337,0.44,1.54
1769160630.485724,1,0,0.9034,338,4.46,1.59
1769160630.5772178,1,0,0.9039,339,1.09,1.56
1769160630.661974,1,0,0.9003,340,1.34,1.6
1769160630.747076,1,0,0.8984,341,2.94,1.54
1769160630.8340857,1,0,0.9009,342,0.57,1.53
1769160630.9239159,1,0,0.9013,343,4.78,1.54
1769160631.0048964,1,0,0.9024,344,2.41,1.55
1769160631.0879867,1,0,0.9002,345,2.19,1.56
1769160631.1717713,1,0,0.8982,346,1.59,1.54
1769160631.2594078,1,0,0.8947,347,2.92,1.55
1769160631.348068,1,0,0.9072,348,0.09,1.55
1769160631.4375384,1,0,0.8961,349,1.31,1.55
1769160631.5243511,1,0,0.9005,350,2.94,1.6
1769160631.6134083,1,0,0.89,351,1.77,1.56
1769160631.7028956,1,0,0.9027,352,3.28,1.59
1769160631.7855847,1,0,0.9045,353,4.39,1.6
1769160631.8723588,1,0,0.9042,354,0.64,1.56
1769160631.956315,1,0,0.9063,355,0.4,1.56
1769160632.0426285,1,0,0.8999,356,0.81,1.61
1769160632.1483884,1,0,0.8983,357,1.58,1.57
1769160632.2361834,1,0,0.906,358,2.57,1.56
